Country,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory
United Kingdom,250700,192700,200400,103700,213900,20500,6700,13300
New Zealand,127900,102700,219900,13800,87400,5400,5600,5000
China,256100,176600,51600,26800,30000,3300,1400,11900
India,153800,182800,53100,29000,53400,2100,4200,10900
Philippines,94100,56000,43100,13300,33400,1800,7000,4000
Vietnam,92900,89900,21800,15700,17600,500,1200,3600
Italy,56000,79100,14800,20200,22000,1000,600,2100
South Africa,47700,30300,44700,7200,45600,1700,1100,2200
Malaysia,34900,55300,16400,8400,32300,1600,800,2600
Scotland,33100,30300,25200,13300,30400,2600,900,2000
Sri Lanka,32600,63200,11100,4200,8900,400,1000,3100
Germany,33700,30000,23100,11200,12800,2400,1200,2500
Greece,36000,57000,4000,10200,2800,600,1800,1200
South Korea,58000,16900,21000,4100,7900,700,500,2500
United States of America,36900,24300,20900,5200,11500,2000,1700,3300
Hong Kong,47300,24400,12200,4000,7000,500,400,1800
Lebanon,68400,19900,1700,1800,1300,100,100,500
Ireland,28200,18200,13300,3700,21600,800,1400,900
Indonesia,34100,19300,7900,2300,12500,400,1300,1400
Netherlands,18900,22200,15800,7200,10400,2500,500,1100
